程顥,1032,1085,1032年@85年
程頤,1033,1107,1033年@1107年
朱熹,1130,1200,1130年@1200年
朱子,1130,1200,1130年@1200年
陸九淵,1139,1192,1139年@92年
陸象山,1139,1192,1139年@92年
司馬光,1019,1086,1019年@86年
欧陽脩,1007,1072,1007年@72年
蘇洵,1009,1066,1009年@66年
蘇軾,1036,1101,1036年@1101年
蘇東坡,1036,1101,1036年@1101年
蘇轍,1039,1112,1039年@1112年
曾鞏,1019,1083,1019年@83年
李公麟,1106,1106,1106年
米芾,1051,1107,1051年@1107年
遼,916,1125,916年@1125年
耶律阿保機,872,926,872年@926年
太祖,872,926,872年@926年
太宗,902,947,902年@947年
耶律堯骨,902,947,902年@947年
澶淵の盟,1004,1004,1004年
聖宗,971,1031,971年@1031年
耶律大石,1143,1143,1143年
西遼,1132,1211,1132年@1211年
カラ＝キタイ,1132,1211,1132年@1211年
李元昊,1003,1048,1003年@48年
西夏,1038,1227,1038年@1227年
完顔阿骨打,1068,1123,1068年@1123年
太祖,1068,1123,1068年@1123年
金,1115,1234,1115年@1234年
王重陽,1113,1170,1113年@70年
李朝,1009,1225,1009年@1225年
大越国,1009,1225,1009年@1225年
陳朝,1225,1400,1225年@1400年
高麗,918,1392,918年@1392年
王建,877,943,877年@943年
太祖,877,943,877年@943年
平安時代,794,1192,794年@1192年
平氏政権,1167,1183,1167年@83年
平清盛,1118,1181,1118年@81年
突厥,552,744,552年@744年
東突厥,583,744,583年@744年
西突厥,583,700,583年@7世紀末頃
吐蕃,507,900,7年@9世紀
バクトリア,-255,-139,前255年頃@前139年
大月氏,-140,100,前140年頃@1世紀
タラス河畔の戦い,751,751,751年
サーマーン朝,875,999,875年@999年
カラ＝ハン朝,901,1200,10世紀@12世紀
セルジューク朝,1038,1194,1038年@1194年
モンゴル帝国,1206,1271,1206年@71年
蒙古帝国,1206,1271,1206年@71年
ナイマン,1201,1300,10年@13世紀
テムジン,1162,1227,1162年頃@1227年
チンギス＝ハン,1162,1227,1162年頃@1227年
成吉思汗,1162,1227,1162年頃@1227年
太祖,1162,1227,1162年頃@1227年
ホラズム朝,1077,1231,1077年@1231年
トウルイ,1192,1232,1192年@1232年
オゴタイ＝ハン,1186,1241,1186年@1241年
太宗矜,1186,1241,1186年@1241年
バトゥ,1207,1255,1207年@55年
西征,1236,1242,1236年@42年
ヨーロッパ遠征,1236,1242,1236年@42年
ワールシュタットの戦い,1241,1241,1241年
リーグニッツの戦い,1241,1241,1241年
モンケ＝ハン,1208,1259,1208年@59年
憲宗,1208,1259,1208年@59年
フビライ＝ハン,1215,1294,1215年@94年
世祖,1215,1294,1215年@94年
史天沢,1202,1275,1202年@75年
元,1271,1368,1271年@1368年
大理,937,1254,937年@1254年
蒙古襲来,1274,1281,1274年@1281年
元寇,1274,1281,1274年@1281年
アリクブケ,1266,1266,1266年
ハイドゥ,1301,1301,1301年
ハイドゥの乱,1266,1301,1266年@1301年
オゴタイ＝ハン国,1225,1310,1225年頃@1310年
チャガタイ＝ハン国,1227,1400,1227年@14世紀後半
キプチャク＝ハン国,1243,1502,1243年@1502年
フラグ,1218,1265,1218年@65年
イル＝ハン国,1258,1353,1258年@1353年
ラシード＝アッディーン,1247,1318,1247年頃@1318年
ラシードゥッディーン,1247,1318,1247年頃@1318年
紅巾の乱,1351,1366,1351年@66年
白蓮教徒の乱,1351,1366,1351年@66年
プラノ＝カルピニ,1182,1252,1182年頃@1252年
ルブルック,1220,1293,1220年頃@93年頃
マルコ＝ポーロ,1254,1324,1254年@1324年
モンテ＝コルヴィノ,1247,1328,1247年@1328年
マリニョーリ,1290,1357,1290年頃@1357年
イブン＝バットゥータ,1304,1377,1304年@68年@69年@77年
パスパ,1235,1280,1235年@39年@80年
パクパ,1235,1280,1235年@39年@80年
郭守敬,1231,1316,1231年@1316年
趙孟頫,1254,1322,1254年@1322年
趙子昂,1254,1322,1254年@1322年
黄公望,1269,1354,1269年@1354年
倪瓚,1301,1374,1301年@74年
呉鎮,1280,1354,1280年@1354年
王蒙,1298,1385,1298年@1385年
陳朝,1225,1400,1225年@1400年
胡朝,1400,1407,1400年@07年
スコータイ朝,1257,1500,1257年@15世紀
アユタヤ朝,1351,1767,1351年@1767年
パガン朝,1044,1299,1044年@1299年
シンガサリ朝,1222,1292,1222年@92年
マジャパヒト王国,1293,1520,1293年@1520年頃
マジャパイト王国,1293,1520,1293年@1520年頃
高麗,918,1392,918年@1392年
崔氏,1196,1258,1196年@1258年
鎌倉時代,1192,1333,1192年@1333年
蒙古襲来,1202,1281,1274年@1274年@1281年@1281年@2年
元寇,1202,1281,1274年@1274年@1281年@1281年@2年
文永・弘安の役,1202,1281,1274年@1274年@1281年@1281年@2年
ムハンマド,570,632,570年頃@632年
マホメット,570,632,570年頃@632年
ヒジュラ,622,622,622年
聖遷,622,622,622年
正統カリフ,632,661,632年@661年
アブー＝バクル,573,634,573年頃@634年
ウマル,581,644,581年頃@644年
ニハーヴァンドの戦い,642,642,642年
ウスマーン,656,656,656年
アリー,661,661,661年
ムアーウィヤ,680,680,680年
ウマイヤ朝,661,750,661年@750年
トゥール・ポワティエ間の戦い,732,732,732年
アル＝アッバース,654,654,654年
アッバース朝,750,1258,750年@1258年
タラス河畔の戦い,751,751,751年
マンスール,713,775,713年頃@775年
ハールーン＝アッラシード,763,809,763年頃@809年
ザンジュの乱,869,883,869年@883年
後ウマイヤ朝,756,1031,756年@1031年
トゥールーン朝,868,905,868年@905年
サッファール朝,867,903,867年@903年
サーマーン朝,875,999,875年@999年
イドリース朝,789,926,789年@926年
ファーティマ朝,909,1171,909年@1171年
ブワイフ朝,932,1062,932年@1062年
セルジューク朝,1038,1194,1038年@1194年
トゥグリル＝ベク,993,1063,993年頃@1063年
ニザーム＝アルムルク,1017,1092,1017年頃@92年
マンジケルトの戦い,1071,1071,1071年
ルーム＝セルジューク朝,1077,1308,1077年@1308年
ホラズム朝,1077,1231,1077年@1231年
ホラズム＝シャー朝,1077,1231,1077年@1231年
ザンギー朝,1127,1222,1127年@1222年
カラ＝ハン朝,901,1200,10世紀@12世紀
フラグ,1218,1265,1218年@65年
イル＝ハン国,1258,1353,1258年@1353年
キプチャク＝ハン国,1243,1502,1243年@1502年
サラディン,1138,1193,1138年@93年@1169年@93年
